formula   X_a0      X_b1      X_c2      Z_a3      Z_b4      Z_c5      IE_a6     IE_b7     IE_c8     EA_a9     EA_b10    EA_c11    r_A12     r_B13     r_C14     vale_A15  vale_B16  vale_C17  cr.r_A18  cr.r_B19  cr.r_C20  mb.x_A21  mb.x_B22  mb.x_C23  s_A24     p_A25     d_A26     f_A27     s_B28     p_B29     d_B30     f_B31     s_C32     p_C33     d_C34     f_C35     topoY     
Sr(InHg)2 0.95      1.78      2.0       38        49        80        5.69487   5.78636   10.4375   0.05207   0.38393   -0.52     2.0       1.55      1.5       2         3         12        3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         1         10        0         2         0         10        14        1         
Ca(NiP)2  1.0       1.91      2.19      20        28        15        6.11316   7.63988   10.48669  0.02455   1.15716   0.74661   1.8       1.35      1.0       2         10        5         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         8         0         2         3         0         0         1         
Sr(CoSi)2 0.95      1.88      1.9       38        27        14        5.69487   7.88101   8.15168   0.05207   0.66226   1.38952   2.0       1.35      1.1       2         9         4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         7         0         2         2         0         0         1         
Sr(CuGe)2 0.95      1.9       2.01      38        29        32        5.69487   7.72638   7.89944   0.05207   1.23578   1.23268   2.0       1.35      1.25      2         11        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         10        0         2         2         10        0         1         
Ba(CoGe)2 0.89      1.88      2.01      56        27        32        5.21166   7.88101   7.89944   0.14463   0.66226   1.23268   2.15      1.35      1.25      2         9         4         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         7         0         2         2         10        0         1         
Ba(FeAs)2 0.89      1.83      2.18      56        26        33        5.21166   7.90247   9.78855   0.14463   0.15324   0.80482   2.15      1.4       1.15      2         8         5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         6         0         2         3         10        0         0         
Sr(SbRu)2 0.95      2.2       2.05      38        44        51        5.69487   7.3605    8.60839   0.05207   1.04638   1.0474    2.0       1.3       1.45      2         8         5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         7         0         2         3         10        0         1         
Ca(NiAs)2 1.0       1.91      2.18      20        28        33        6.11316   7.63988   9.78855   0.02455   1.15716   0.80482   1.8       1.35      1.15      2         10        5         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         8         0         2         3         10        0         0         
Yb(NiP)2  1.1       1.91      2.19      70        28        15        6.25416   7.63988   10.48669  -0.02     1.15716   0.74661   1.75      1.35      1.0       3         10        5         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         0         8         0         2         3         0         0         1         
SrAl4     0.95      1.61      1.61      38        13        13        5.69487   5.98577   5.98577   0.05207   0.43284   0.43284   2.0       1.25      1.25      2         3         3         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         1         0         0         2         1         0         0         0         
Th(GeAu)2 1.3       2.54      2.01      90        79        32        6.3067    9.22555   7.89944   1.17      2.30861   1.23268   1.8       1.35      1.25      3         11        4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         10        14        2         2         10        0         0         
Ca(GePd)2 1.0       2.2       2.01      20        46        32        6.11316   8.33684   7.89944   0.02455   0.56214   1.23268   1.8       1.4       1.25      2         10        4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         0         0         10        0         2         2         10        0         1         
Sr(GeAu)2 0.95      2.54      2.01      38        79        32        5.69487   9.22555   7.89944   0.05207   2.30861   1.23268   2.0       1.35      1.25      2         11        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         10        14        2         2         10        0         1         
Sr(GeRh)2 0.95      2.28      2.01      38        45        32        5.69487   7.4589    7.89944   0.05207   1.14289   1.23268   2.0       1.35      1.25      2         9         4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         8         0         2         2         10        0         1         
Ba(AlSi)2 0.89      1.61      1.9       56        13        14        5.21166   5.98577   8.15168   0.14463   0.43284   1.38952   2.15      1.25      1.1       2         3         4         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         1         0         0         2         2         0         0         0         
Ba(PIr)2  0.89      2.2       2.19      56        77        15        5.21166   8.96702   10.48669  0.14463   1.56436   0.74661   2.15      1.35      1.0       2         9         5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         7         14        2         3         0         0         0         
Pr2TeO2   2.1       3.44      1.13      52        8         59        9.00981   13.61806  5.4702    1.97088   1.46111   0.10923   1.4       0.6       1.85      6         6         3         1.67      1.67      1.67      2.38      2.38      2.38      2         4         10        0         2         4         0         0         2         0         0         3         0         
Sm2TeO2   2.1       3.44      1.17      52        8         62        9.00981   13.61806  5.64371   1.97088   1.46111   0.162     1.4       0.6       1.85      6         6         3         1.67      1.67      1.67      2.38      2.38      2.38      2         4         10        0         2         4         0         0         2         0         0         6         0         
Yb(FeSi)2 1.1       1.83      1.9       70        26        14        6.25416   7.90247   8.15168   -0.02     0.15324   1.38952   1.75      1.4       1.1       3         8         4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         0         6         0         2         2         0         0         1         
Yb(GePd)2 1.1       2.2       2.01      70        46        32        6.25416   8.33684   7.89944   -0.02     0.56214   1.23268   1.75      1.4       1.25      3         10        4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        0         0         10        0         2         2         10        0         1         
Ce(NiGe)2 1.12      1.91      2.01      58        28        32        5.5386    7.63988   7.89944   0.572     1.15716   1.23268   1.85      1.35      1.25      3         10        4         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         0         8         0         2         2         10        0         0         
Ca(CoGe)2 1.0       1.88      2.01      20        27        32        6.11316   7.88101   7.89944   0.02455   0.66226   1.23268   1.8       1.35      1.25      2         9         4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         7         0         2         2         10        0         1         
BaIn4     0.89      1.78      1.78      56        49        49        5.21166   5.78636   5.78636   0.14463   0.38393   0.38393   2.15      1.55      1.55      2         3         3         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         1         10        0         2         1         10        0         0         
Sr(AsRu)2 0.95      2.2       2.18      38        44        33        5.69487   7.3605    9.78855   0.05207   1.04638   0.80482   2.0       1.3       1.15      2         8         5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         7         0         2         3         10        0         1         
Th(MnSi)2 1.3       1.55      1.9       90        25        14        6.3067    7.43404   8.15168   1.17      -0.52     1.38952   1.8       1.4       1.1       3         7         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         2         0         5         0         2         2         0         0         1         
Sr(FeAs)2 0.95      1.83      2.18      38        26        33        5.69487   7.90247   9.78855   0.05207   0.15324   0.80482   2.0       1.4       1.15      2         8         5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         6         0         2         3         10        0         1         
U(SiRu)2  1.38      2.2       1.9       92        44        14        6.19405   7.3605    8.15168   0.53      1.04638   1.38952   1.75      1.3       1.1       3         8         4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         1         0         7         0         2         2         0         0         0         
Sr(CuAs)2 0.95      1.9       2.18      38        29        33        5.69487   7.72638   9.78855   0.05207   1.23578   0.80482   2.0       1.35      1.15      2         11        5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         10        0         2         3         10        0         1         
Yb(GeRu)2 1.1       2.2       2.01      70        44        32        6.25416   7.3605    7.89944   -0.02     1.04638   1.23268   1.75      1.3       1.25      3         8         4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         7         0         2         2         10        0         0         
Ca(CoAs)2 1.0       1.88      2.18      20        27        33        6.11316   7.88101   9.78855   0.02455   0.66226   0.80482   1.8       1.35      1.15      2         9         5         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         7         0         2         3         10        0         1         
Ba(ZnP)2  0.89      1.65      2.19      56        30        15        5.21166   9.3942    10.48669  0.14463   -0.62     0.74661   2.15      1.35      1.0       2         12        5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         10        0         2         3         0         0         0         
Sr(ZnGe)2 0.95      1.65      2.01      38        30        32        5.69487   9.3942    7.89944   0.05207   -0.62     1.23268   2.0       1.35      1.25      2         12        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         10        0         2         2         10        0         1         
Sr(GePd)2 0.95      2.2       2.01      38        46        32        5.69487   8.33684   7.89944   0.05207   0.56214   1.23268   2.0       1.4       1.25      2         10        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         0         0         10        0         2         2         10        0         1         
Sr(PRh)2  0.95      2.28      2.19      38        45        15        5.69487   7.4589    10.48669  0.05207   1.14289   0.74661   2.0       1.35      1.0       2         9         5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         8         0         2         3         0         0         1         
Ca(GeAu)2 1.0       2.54      2.01      20        79        32        6.11316   9.22555   7.89944   0.02455   2.30861   1.23268   1.8       1.35      1.25      2         11        4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         10        14        2         2         10        0         1         
Sr(AgGe)2 0.95      1.93      2.01      38        47        32        5.69487   7.57623   7.89944   0.05207   1.30447   1.23268   2.0       1.6       1.25      2         11        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         10        0         2         2         10        0         0         
U(MnSi)2  1.38      1.55      1.9       92        25        14        6.19405   7.43404   8.15168   0.53      -0.52     1.38952   1.75      1.4       1.1       3         7         4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         2         0         5         0         2         2         0         0         1         
Ce(MnSi)2 1.12      1.55      1.9       58        25        14        5.5386    7.43404   8.15168   0.572     -0.52     1.38952   1.85      1.4       1.1       3         7         4         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         0         5         0         2         2         0         0         0         
Ba(AlGe)2 0.89      1.61      2.01      56        13        32        5.21166   5.98577   7.89944   0.14463   0.43284   1.23268   2.15      1.25      1.25      2         3         4         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         1         0         0         2         2         10        0         0         
U(CoGe)2  1.38      1.88      2.01      92        27        32        6.19405   7.88101   7.89944   0.53      0.66226   1.23268   1.75      1.35      1.25      3         9         4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         2         0         7         0         2         2         10        0         0         
Th(GePd)2 1.3       2.2       2.01      90        46        32        6.3067    8.33684   7.89944   1.17      0.56214   1.23268   1.8       1.4       1.25      3         10        4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         0         0         10        0         2         2         10        0         1         
ThZn4     1.3       1.65      1.65      90        30        30        6.3067    9.3942    9.3942    1.17      -0.62     -0.62     1.8       1.35      1.35      3         12        12        4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         2         0         10        0         2         0         10        0         1         
Ce(CoP)2  1.12      1.88      2.19      58        27        15        5.5386    7.88101   10.48669  0.572     0.66226   0.74661   1.85      1.35      1.0       3         9         5         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         0         7         0         2         3         0         0         1         
Th(GeOs)2 1.3       2.2       2.01      90        76        32        6.3067    8.43823   7.89944   1.17      1.0778    1.23268   1.8       1.3       1.25      3         8         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         2         0         6         14        2         2         10        0         1         
Ce(CuSi)2 1.12      1.9       1.9       58        29        14        5.5386    7.72638   8.15168   0.572     1.23578   1.38952   1.85      1.35      1.1       3         11        4         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         1         0         10        0         2         2         0         0         0         
Ca(CuSi)2 1.0       1.9       1.9       20        29        14        6.11316   7.72638   8.15168   0.02455   1.23578   1.38952   1.8       1.35      1.1       2         11        4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         10        0         2         2         0         0         1         
Ba(AsRh)2 0.89      2.28      2.18      56        45        33        5.21166   7.4589    9.78855   0.14463   1.14289   0.80482   2.15      1.35      1.15      2         9         5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         8         0         2         3         10        0         1         
Yb(AlGa)2 1.1       1.61      1.81      70        13        31        6.25416   5.98577   5.9993    -0.02     0.43284   0.3012    1.75      1.25      1.3       3         3         3         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         1         0         0         2         1         10        0         0         
U(FeSi)2  1.38      1.83      1.9       92        26        14        6.19405   7.90247   8.15168   0.53      0.15324   1.38952   1.75      1.4       1.1       3         8         4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         2         0         6         0         2         2         0         0         0         
Ba(PRu)2  0.89      2.2       2.19      56        44        15        5.21166   7.3605    10.48669  0.14463   1.04638   0.74661   2.15      1.3       1.0       2         8         5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         7         0         2         3         0         0         0         
Ce(SiNi)2 1.12      1.91      1.9       58        28        14        5.5386    7.63988   8.15168   0.572     1.15716   1.38952   1.85      1.35      1.1       3         10        4         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         0         8         0         2         2         0         0         0         
Pu(FeSi)2 1.28      1.83      1.9       94        26        14        6.02576   7.90247   8.15168   -0.5      0.15324   1.38952   1.75      1.4       1.1       3         8         4         4.91      4.91      4.91      1.3       1.3       1.3       2         0         0         6         2         0         6         0         2         2         0         0         0         
Ca(CoSi)2 1.0       1.88      1.9       20        27        14        6.11316   7.88101   8.15168   0.02455   0.66226   1.38952   1.8       1.35      1.1       2         9         4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         7         0         2         2         0         0         1         
Ba(ZnAs)2 0.89      1.65      2.18      56        30        33        5.21166   9.3942    9.78855   0.14463   -0.62     0.80482   2.15      1.35      1.15      2         12        5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         10        0         2         3         10        0         0         
YbGa4     1.1       1.81      1.81      70        31        31        6.25416   5.9993    5.9993    -0.02     0.3012    0.3012    1.75      1.3       1.3       3         3         3         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         1         10        0         2         1         10        0         0         
Ba(SbRu)2 0.89      2.2       2.05      56        44        51        5.21166   7.3605    8.60839   0.14463   1.04638   1.0474    2.15      1.3       1.45      2         8         5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         7         0         2         3         10        0         1         
CaGa4     1.0       1.81      1.81      20        31        31        6.11316   5.9993    5.9993    0.02455   0.3012    0.3012    1.8       1.3       1.3       2         3         3         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         1         10        0         2         1         10        0         0         
Ba(ZnSi)2 0.89      1.65      1.9       56        30        14        5.21166   9.3942    8.15168   0.14463   -0.62     1.38952   2.15      1.35      1.1       2         12        4         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         10        0         2         2         0         0         0         
Ca(PPd)2  1.0       2.2       2.19      20        46        15        6.11316   8.33684   10.48669  0.02455   0.56214   0.74661   1.8       1.4       1.0       2         10        5         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         0         0         10        0         2         3         0         0         1         
Ca(AsPd)2 1.0       2.2       2.18      20        46        33        6.11316   8.33684   9.78855   0.02455   0.56214   0.80482   1.8       1.4       1.15      2         10        5         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         0         0         10        0         2         3         10        0         1         
U(FeGe)2  1.38      1.83      2.01      92        26        32        6.19405   7.90247   7.89944   0.53      0.15324   1.23268   1.75      1.4       1.25      3         8         4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         2         0         6         0         2         2         10        0         1         
Th(SiAu)2 1.3       2.54      1.9       90        79        14        6.3067    9.22555   8.15168   1.17      2.30861   1.38952   1.8       1.35      1.1       3         11        4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         10        14        2         2         0         0         0         
Ca(GeIr)2 1.0       2.2       2.01      20        77        32        6.11316   8.96702   7.89944   0.02455   1.56436   1.23268   1.8       1.35      1.25      2         9         4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         7         14        2         2         10        0         1         
SrGa4     0.95      1.81      1.81      38        31        31        5.69487   5.9993    5.9993    0.05207   0.3012    0.3012    2.0       1.3       1.3       2         3         3         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         1         10        0         2         1         10        0         0         
Ca(ZnGe)2 1.0       1.65      2.01      20        30        32        6.11316   9.3942    7.89944   0.02455   -0.62     1.23268   1.8       1.35      1.25      2         12        4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         10        0         2         2         10        0         1         
Ba(POs)2  0.89      2.2       2.19      56        76        15        5.21166   8.43823   10.48669  0.14463   1.0778    0.74661   2.15      1.3       1.0       2         8         5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         6         14        2         3         0         0         0         
Ba(BIr)2  0.89      2.2       2.04      56        77        5         5.21166   8.96702   8.29802   0.14463   1.56436   0.27972   2.15      1.35      0.85      2         9         3         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         7         14        2         1         0         0         0         
Yb(SiAg)2 1.1       1.93      1.9       70        47        14        6.25416   7.57623   8.15168   -0.02     1.30447   1.38952   1.75      1.6       1.1       3         11        4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         10        0         2         2         0         0         1         
Ba(GeRh)2 0.89      2.28      2.01      56        45        32        5.21166   7.4589    7.89944   0.14463   1.14289   1.23268   2.15      1.35      1.25      2         9         4         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         8         0         2         2         10        0         1         
Sr(CdGa)2 0.95      1.69      1.81      38        48        31        5.69487   8.99382   5.9993    0.05207   -0.72     0.3012    2.0       1.55      1.3       2         12        3         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         10        0         2         1         10        0         1         
Ba(MnAs)2 0.89      1.55      2.18      56        25        33        5.21166   7.43404   9.78855   0.14463   -0.52     0.80482   2.15      1.4       1.15      2         7         5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         5         0         2         3         10        0         1         
CaAl4     1.0       1.61      1.61      20        13        13        6.11316   5.98577   5.98577   0.02455   0.43284   0.43284   1.8       1.25      1.25      2         3         3         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         1         0         0         2         1         0         0         0         
Zn(BIr)2  1.65      2.04      2.2       30        5         77        9.3942    8.29802   8.96702   -0.62     0.27972   1.56436   1.35      0.85      1.35      12        3         9         1.88      1.88      1.88      1.44      1.44      1.44      2         0         10        0         2         1         0         0         2         0         7         14        1         
Tb2TeO2   2.1       3.44      1.1       52        8         65        9.00981   13.61806  5.8638    1.97088   1.46111   0.13132   1.4       0.6       1.75      6         6         3         1.67      1.67      1.67      2.38      2.38      2.38      2         4         10        0         2         4         0         0         2         0         0         9         0         
Dy2TeO2   2.1       3.44      1.22      52        8         66        9.00981   13.61806  5.93905   1.97088   1.46111   0.352     1.4       0.6       1.75      6         6         3         1.67      1.67      1.67      2.38      2.38      2.38      2         4         10        0         2         4         0         0         2         0         0         10        0         
CeAl4     1.12      1.61      1.61      58        13        13        5.5386    5.98577   5.98577   0.572     0.43284   0.43284   1.85      1.25      1.25      3         3         3         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         1         0         0         2         1         0         0         0         
Ce(AlGa)2 1.12      1.61      1.81      58        13        31        5.5386    5.98577   5.9993    0.572     0.43284   0.3012    1.85      1.25      1.3       3         3         3         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         1         0         0         2         1         10        0         0         
Ba(CuS)2  0.89      1.9       2.58      56        29        16        5.21166   7.72638   10.36001  0.14463   1.23578   2.0771    2.15      1.35      1.0       2         11        6         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         10        0         2         4         0         0         0         
Pu(SiRh)2 1.28      2.28      1.9       94        45        14        6.02576   7.4589    8.15168   -0.5      1.14289   1.38952   1.75      1.35      1.1       3         9         4         4.91      4.91      4.91      1.3       1.3       1.3       2         0         0         6         1         0         8         0         2         2         0         0         0         
Ca(CuGe)2 1.0       1.9       2.01      20        29        32        6.11316   7.72638   7.89944   0.02455   1.23578   1.23268   1.8       1.35      1.25      2         11        4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         10        0         2         2         10        0         1         
Pu(MnSi)2 1.28      1.55      1.9       94        25        14        6.02576   7.43404   8.15168   -0.5      -0.52     1.38952   1.75      1.4       1.1       3         7         4         4.91      4.91      4.91      1.3       1.3       1.3       2         0         0         6         2         0         5         0         2         2         0         0         0         
BaGa4     0.89      1.81      1.81      56        31        31        5.21166   5.9993    5.9993    0.14463   0.3012    0.3012    2.15      1.3       1.3       2         3         3         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         1         10        0         2         1         10        0         0         
Ca(MnGe)2 1.0       1.55      2.01      20        25        32        6.11316   7.43404   7.89944   0.02455   -0.52     1.23268   1.8       1.4       1.25      2         7         4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         5         0         2         2         10        0         1         
Ce(SiOs)2 1.12      2.2       1.9       58        76        14        5.5386    8.43823   8.15168   0.572     1.0778    1.38952   1.85      1.3       1.1       3         8         4         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         0         6         14        2         2         0         0         0         
Sr(PPd)2  0.95      2.2       2.19      38        46        15        5.69487   8.33684   10.48669  0.05207   0.56214   0.74661   2.0       1.4       1.0       2         10        5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         0         0         10        0         2         3         0         0         1         
Ba(FeP)2  0.89      1.83      2.19      56        26        15        5.21166   7.90247   10.48669  0.14463   0.15324   0.74661   2.15      1.4       1.0       2         8         5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         6         0         2         3         0         0         1         
Yb(NiGe)2 1.1       1.91      2.01      70        28        32        6.25416   7.63988   7.89944   -0.02     1.15716   1.23268   1.75      1.35      1.25      3         10        4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         0         8         0         2         2         10        0         1         
Zr(NiP)2  1.33      1.91      2.19      40        28        15        6.63413   7.63988   10.48669  0.43329   1.15716   0.74661   1.55      1.35      1.0       4         10        5         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         0         8         0         2         3         0         0         0         
Th(GeRh)2 1.3       2.28      2.01      90        45        32        6.3067    7.4589    7.89944   1.17      1.14289   1.23268   1.8       1.35      1.25      3         9         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         8         0         2         2         10        0         0         
Ce(SiIr)2 1.12      2.2       1.9       58        77        14        5.5386    8.96702   8.15168   0.572     1.56436   1.38952   1.85      1.35      1.1       3         9         4         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         0         7         14        2         2         0         0         1         
La2TeO2   2.1       3.44      1.1       52        8         57        9.00981   13.61806  5.5769    1.97088   1.46111   0.55755   1.4       0.6       1.95      6         6         3         1.67      1.67      1.67      2.38      2.38      2.38      2         4         10        0         2         4         0         0         2         0         1         0         0         
Th(SiPt)2 1.3       2.28      1.9       90        78        14        6.3067    8.95883   8.15168   1.17      2.12511   1.38952   1.8       1.35      1.1       3         10        4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         9         14        2         2         0         0         1         
Yb(SiPd)2 1.1       2.2       1.9       70        46        14        6.25416   8.33684   8.15168   -0.02     0.56214   1.38952   1.75      1.4       1.1       3         10        4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        0         0         10        0         2         2         0         0         1         
Pu(SiOs)2 1.28      2.2       1.9       94        76        14        6.02576   8.43823   8.15168   -0.5      1.0778    1.38952   1.75      1.3       1.1       3         8         4         4.91      4.91      4.91      1.3       1.3       1.3       2         0         0         6         2         0         6         14        2         2         0         0         0         
Sr(GeRu)2 0.95      2.2       2.01      38        44        32        5.69487   7.3605    7.89944   0.05207   1.04638   1.23268   2.0       1.3       1.25      2         8         4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         7         0         2         2         10        0         1         
Th(CuGe)2 1.3       1.9       2.01      90        29        32        6.3067    7.72638   7.89944   1.17      1.23578   1.23268   1.8       1.35      1.25      3         11        4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         10        0         2         2         10        0         1         
Yb(SiPt)2 1.1       2.28      1.9       70        78        14        6.25416   8.95883   8.15168   -0.02     2.12511   1.38952   1.75      1.35      1.1       3         10        4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         9         14        2         2         0         0         1         
Th(SiRh)2 1.3       2.28      1.9       90        45        14        6.3067    7.4589    8.15168   1.17      1.14289   1.38952   1.8       1.35      1.1       3         9         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         8         0         2         2         0         0         0         
Ce(NiAs)2 1.12      1.91      2.18      58        28        33        5.5386    7.63988   9.78855   0.572     1.15716   0.80482   1.85      1.35      1.15      3         10        5         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         0         8         0         2         3         10        0         0         
Sr(POs)2  0.95      2.2       2.19      38        76        15        5.69487   8.43823   10.48669  0.05207   1.0778    0.74661   2.0       1.3       1.0       2         8         5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         6         14        2         3         0         0         0         
U(NiGe)2  1.38      1.91      2.01      92        28        32        6.19405   7.63988   7.89944   0.53      1.15716   1.23268   1.75      1.35      1.25      3         10        4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         2         0         8         0         2         2         10        0         1         
Zr(CoSi)2 1.33      1.88      1.9       40        27        14        6.63413   7.88101   8.15168   0.43329   0.66226   1.38952   1.55      1.35      1.1       4         9         4         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         0         7         0         2         2         0         0         0         
Hf(SiNi)2 1.3       1.91      1.9       72        28        14        6.82507   7.63988   8.15168   0.17807   1.15716   1.38952   1.55      1.35      1.1       4         10        4         2.91      2.91      2.91      1.73      1.73      1.73      2         0         2         14        2         0         8         0         2         2         0         0         1         
