formula     mp_id       data        prediction  
Ba(ZnSi)2   mp-1070267  0           1           1
Ca(NiP)2    mp-4064     1           1           1
Nd(FeSi)2   mp-3489     -1          1           1
Ca(NiGe)2   mp-2949     1           1           1
Ba(CuSe)2   mp-10437    0           0           1
Nd(NiP)2    mp-569974   -1          1           1
Ba(CuAs)2   mp-9247     1           1           1
Ca(CuSi)2   mp-5486     1           1           1
Dy(SiPd)2   mp-3301     -1          1           1
NdAl4       mp-1834     -1          0           1
Sm(CoGe)2   mp-4334     -1          1           1
Ca(ZnSi)2   mp-12137    1           1           1
Sm(SiNi)2   mp-3939     -1          0           1
Dy(SiPt)2   mp-1225281  -1          0           1
Sm(SiOs)2   mp-567408   -1          1           1
Tm2SeO2     mp-754475   -1          0           1
Ca(NiAs)2   mp-4744     0           1           1
Er(NiP)2    mp-3455     -1          1           1
Th(SiAu)2   mp-16250    0           1           1
Sm(SiAg)2   mp-567600   -1          1           1
Ca(GeRu)2   mp-19791    1           1           1
Sm(FeSi)2   mp-567859   -1          0           1
Ba(MgGe)2   mp-7876     1           1           1
Ba(MgSi)2   mp-7875     0           0           1
Dy(CoGe)2   mp-19771    -1          1           1
Ce(NiP)2    mp-569697   1           1           1
Ba(POs)2    mp-12056    0           0           1
Sm(NiGe)2   mp-5167     -1          1           1
Er(SiRu)2   mp-5022     -1          1           1
Sr(AgSn)2   mp-7366     0           0           1
Sr(PPd)2    mp-3385     1           1           1
Th(SiPt)2   mp-4611     1           1           1
Yb(SiRh)2   mp-10626    1           1           1
Sr(ZnGe)2   mp-7363     1           1           1
Dy2SeO2     mp-769253   -1          0           1
Ho2TeO2     mp-1178173  -1          0           1
Th(FeSi)2   mp-7600     1           1           1
Ba(GeAu)2   mp-1228646  -1          1           1
Nd2TeO2     mp-5459     0           0           1
Th(CuGe)2   mp-4911     1           1           1
Ba(ZnGe)2   mp-1206924  -1          1           1
Sr(CdGa)2   mp-12783    1           1           1
Ca(AgGe)2   mp-7878     0           0           1
Sm(PRu)2    mp-12059    -1          1           1
Yb(SiOs)2   mp-567093   0           0           1
Dy(SiIr)2   mp-4065     -1          1           1
Nd(CuGe)2   mp-3177     -1          1           1
Nd(NiAs)2   mp-567723   -1          0           1
Er(CuSi)2   mp-4305     -1          1           1
Ca(ZnGe)2   mp-13911    1           1           1
Ba(ZnAs)2   mp-570198   0           0           1
Hf(SiNi)2   mp-571147   1           1           1
Er(SiNi)2   mp-4881     -1          0           1
Nd(GePt)2   mp-21070    -1          1           1
Ba(PRu)2    mp-4484     0           0           1
Ca(CoGe)2   mp-4259     1           1           1
Ca(GeIr)2   mp-16259    1           1           1
Er(SiOs)2   mp-3958     -1          1           1
Sr(AlPb)2   mp-20872    0           0           1
Ca(AlZn)2   mp-30175    1           1           1
Er(CoGe)2   mp-5497     -1          1           1
Dy(CuSi)2   mp-2917     -1          1           1
Th(SiRh)2   mp-4413     0           1           1
Er(SiPd)2   mp-3218     -1          1           1
Dy(SiOs)2   mp-12088    -1          1           1
Yb(SiAu)2   mp-16251    1           1           1
Tb2TeO2     mp-16036    0           0           1
Er(PRu)2    mp-12058    -1          1           1
Ba(PIr)2    mp-11169    0           0           1
Sr(CdGe)2   mp-7881     1           1           1
Sm(SiIr)2   mp-12097    -1          1           1
Zr(CoSi)2   mp-569344   0           1           1
Sm(AgGe)2   mp-972680   -1          1           1
Ba(GeRh)2   mp-10698    1           1           1
Sm(NiSb)2   mp-568599   -1          1           1
Er(SiIr)2   mp-3907     -1          1           1
Th(SiRu)2   mp-5165     1           1           1
Nd(NiSb)2   mp-568161   -1          1           1
Th(GePd)2   mp-4147     1           1           1
SrGa4       mp-1827     0           0           1
Ba(ZnP)2    mp-7426     0           0           1
Nd(NiSn)2   mp-569860   -1          1           1
Nd(GePd)2   mp-4725     -1          1           1
