formula     mp_id       data        prediction  
ThGaIr      mp-1079844  1           1           1
SmHgPd      mp-567912   -1          1           1
LuAgPb      mp-16747    0           0           1
NdCdPd      mp-1206604  -1          0           1
ErAlCu      mp-1078592  -1          1           1
YMgAu       mp-1205750  -1          1           1
ZrZnGe      mp-1207223  -1          0           1
SmZnPd      mp-1080449  -1          0           1
ErInAu      mp-30375    -1          1           1
SiPd2       mp-697068   0           0           1
DyZnNi      mp-1079341  -1          0           1
DyZnPd      mp-1078837  -1          0           1
ScAgSn      mp-1208964  -1          0           1
HoInPd      mp-4299     0           0           1
NdInRh      mp-31330    -1          1           1
HoSnIr      mp-1079423  0           0           1
CaCdGe      mp-16258    1           1           1
LuSiAg      mp-1079794  1           1           1
NdInAu      mp-621362   -1          1           1
CaCdSn      mp-568695   1           1           1
ScCuGe      mp-1206358  -1          0           1
ErMgPd      mp-1079435  -1          0           1
YSnRh       mp-1078827  0           0           1
HoMgAg      mp-1205940  -1          1           1
LuAgSn      mp-3608     1           1           1
ErSnPd      mp-1079874  -1          1           1
TbAlNi      mp-11538    0           0           1
DyInRh      mp-567588   -1          1           1
DyMgPd      mp-1078639  -1          0           1
HoAlNi      mp-2909     0           0           1
TbMgTl      mp-1206540  -1          1           1
MgGaAu      mp-1080605  0           0           1
TmSiAg      mp-1079093  1           1           1
TbInNi      mp-582293   0           0           1
TmMgAu      mp-1206259  -1          1           1
YMgAl       mp-13090    1           1           1
GePt2       mp-20061    0           0           1
YSiAg       mp-1091398  1           1           1
PrCdGa      mp-1079448  1           1           1
TiGePd      mp-16740    1           1           1
PrInPd      mp-1079206  0           0           1
LaCuPd      mp-1205789  -1          0           1
LiPrGe      mp-8481     1           1           1
DyBiRh      mp-30307    -1          1           1
TbCdAu      mp-1205950  -1          1           1
HoInPt      mp-21290    0           0           1
ScAgGe      mp-1080424  1           1           1
DyPdPb      mp-1080454  -1          0           1
ErPdPb      mp-1079880  -1          0           1
YMgTl       mp-11984    1           1           1
TmSnRh      mp-11974    0           0           1
PrSnRh      mp-12381    1           1           1
HoMgIn      mp-20538    1           1           1
HfGaRh      mp-1079842  0           0           1
LaSnIr      mp-1205954  -1          0           1
HoInNi      mp-31426    0           0           1
ScGeRh      mp-1079597  0           1           1
TmMgAg      mp-1206263  -1          1           1
LiYSi       mp-14208    1           1           1
PrInNi      mp-1079387  0           0           1
ZrGaRh      mp-1078756  0           0           1
SmZnNi      mp-1078641  -1          0           1
SmMgPt      mp-16645    -1          1           1
LuSnRh      mp-1079148  0           0           1
ErSnPt      mp-1079826  -1          0           1
ErInRh      mp-3141     -1          1           1
CeInIr      mp-20449    1           1           1
LaMgAu      mp-1206060  -1          1           1
NdZnPd      mp-1087517  -1          0           1
LaMgCu      mp-1206944  -1          0           1
ScPRu       mp-16305    0           0           1
LaTlPd      mp-30754    0           0           1
ThAlIr      mp-1079846  1           1           1
TmSnIr      mp-1080427  0           0           1
ScCuGe      mp-1078430  1           1           1
GePd2       mp-423      0           0           1
TaReSi      mp-1079158  0           0           1
HoTlPd      mp-30732    0           0           1
NdSnPt      mp-21111    -1          0           1
SiPt2       mp-1024071  1           0           1
SmSnPt      mp-21007    -1          0           1
ThAlRh      mp-1080785  1           1           1
LuAlNi      mp-1079819  0           0           1
YbSnPt      mp-22779    1           0           1
ErZnNi      mp-1078524  -1          0           1
HoAgGe      mp-7093     1           1           1
PrCdCu      mp-1084809  1           0           1
DyInCu      mp-1080594  -1          1           1
LaCdAu      mp-542251   1           1           1
ErBiRh      mp-1205914  -1          1           1
YbCdGe      mp-1078690  1           1           1
NdMgPt      mp-11091    -1          1           1
NdAlCu      mp-1080560  -1          1           1
YAgPb       mp-21505    1           0           1
TbSnRh      mp-1084759  0           0           1
NdSnPd      mp-22419    -1          0           1
SmCdPd      mp-1079744  -1          0           1
LiYGe       mp-14209    1           1           1
LuMgIn      mp-1205857  -1          1           1
TmInPd      mp-1078235  0           0           1
TbInPt      mp-567413   0           0           1
YbCdSn      mp-1080680  1           1           1
BaCl2       mp-567680   0           0           1
NdMgPd      mp-1205891  -1          0           1
HfSiOs      mp-1079323  0           0           1
LuAgGe      mp-1205963  -1          1           1
SiNiPd      mp-1080033  0           0           1
LaInNi      mp-1078593  0           0           1
ThGaRh      mp-1078694  0           0           1
HoSnRh      mp-11971    0           0           1
PrAlPd      mp-1080703  0           0           1
ScCuSi      mp-15322    1           1           1
HoMgGa      mp-1205995  -1          1           1
YTlPd       mp-11547    0           0           1
BaNaBi      mp-31235    1           1           1
TmMgIn      mp-20979    1           1           1
NdInCu      mp-22696    -1          1           1
DyInIr      mp-22723    -1          0           1
YbCdPb      mp-1080127  0           0           1
YMgGa       mp-5590     1           1           1
YMgIn       mp-21503    1           1           1
YInPt       mp-19740    0           0           1
YbAlCu      mp-1078543  1           1           1
YAlNi       mp-13095    1           1           1
DySnPt      mp-1078760  -1          0           1
TmAgGe      mp-1078772  1           1           1
LuAlPd      mp-973629   0           0           1
YbSnPd      mp-4106     1           1           1
ScCuGe      mp-1206354  -1          1           1
TbMgIn      mp-1205951  -1          1           1
LiHoGe      mp-15820    1           1           1
PrCdAu      mp-1205879  -1          1           1
NaSrAs      mp-9775     0           1           1
ZrGeOs      mp-1091395  0           0           1
