formula     mp_id       data        prediction  
TbN         mp-2117     0           0           1
ScP         mp-2807     0           0           1
AuN         mp-1008610  0           0           1
TlI         mp-571102   0           0           1
TlCl        mp-569639   0           0           1
LuP         mp-10192    0           0           1
CeO         mp-10688    1           1           1
KCl         mp-23193    0           0           1
TcB         mp-1002187  0           0           1
NaBr        mp-22916    0           0           1
YbZn        mp-11577    -1          0           1
PrSb        mp-1785     1           1           1
PrAs        mp-10622    1           1           1
HgO         mp-545619   -1          0           1
MoC         mp-2746     0           0           1
GaN         mp-2853     0           0           1
MgO         mp-1265     0           0           1
YbS         mp-1820     0           0           1
TbAs        mp-2640     1           1           1
AgBr        mp-23231    0           0           1
KI          mp-22898    0           0           1
TePb        mp-19717    1           1           1
InN         mp-20812    0           0           1
VN          mp-925      0           0           1
PdO         mp-10728    0           0           1
ThS         mp-503      0           0           1
CsF         mp-1784     0           0           1
NdSe        mp-1453     -1          1           1
ScN         mp-2857     0           0           1
KF          mp-463      0           0           1
CaZn        mp-1039447  -1          0           1
CeS         mp-1096     1           1           1
YbSe        mp-286      0           1           1
BrN         mp-1058019  0           0           1
RbB         mp-1061023  0           0           1
NaI         mp-23268    0           0           1
TcN         mp-1002182  1           1           1
PaN         mp-1009545  1           0           1
LuSb        mp-516      0           0           1
AgF         mp-7592     0           0           1
CuN         mp-1008922  0           0           1
HoP         mp-744      1           1           1
InAs        mp-21391    0           0           1
LaP         mp-2384     1           1           1
UC          mp-2489     0           0           1
HfC         mp-21075    1           1           1
AlN         mp-1330     0           0           1
LiH         mp-23703    0           0           1
HCl         mp-23722    0           0           1
CsBr        mp-571222   0           0           1
SrO         mp-2472     0           0           1
CsCl        mp-573697   0           0           1
HoSb        mp-2050     1           1           1
LiBr        mp-23259    0           0           1
SrS         mp-1087     0           0           1
PbSe        mp-2201     1           1           1
ZrZn        mp-614444   -1          0           1
HoBi        mp-22866    1           1           1
SmS         mp-1269     -1          0           1
CuBr        mp-570354   0           0           1
ThSe        mp-2183     0           0           1
PrBi        mp-23171    1           1           1
MgS         mp-1315     0           0           1
TmAs        mp-1101     0           0           1
NaB         mp-1056860  1           1           1
SnSe        mp-2693     1           1           1
SiC         mp-1002206  0           0           1
GeTe        mp-2612     -1          1           1
MgCd        mp-1039157  -1          0           1
SnC         mp-1009822  0           0           1
CsH         mp-1057286  0           0           1
YP          mp-994      0           0           1
SrSe        mp-2758     0           0           1
ErSe        mp-2491     -1          0           1
HgS         mp-10764    0           0           1
LaN         mp-256      0           0           1
SeS         mp-2559     -1          0           1
YbTe        mp-1779     0           0           1
HgTe        mp-1811     0           0           1
CoN         mp-1009078  -1          1           1
CdSe        mp-1055     0           0           1
ErTe        mp-1280     -1          0           1
WC          mp-13136    1           1           1
TiC         mp-631      0           0           1
DyS         mp-2470     -1          0           1
CaTe        mp-1519     0           0           1
SrMg        mp-1094298  -1          0           1
ZrS         mp-1925     0           0           1
GeSe        mp-10759    0           0           1
ReN         mp-1009694  0           0           1
ZrO         mp-10197    0           0           1
HBr         mp-23903    0           0           1
OsC         mp-1009539  1           1           1
ScSb        mp-549      1           1           1
DySe        mp-814      -1          0           1
BaSe        mp-1253     0           0           1
KBr         mp-23251    0           0           1
CeC         mp-22672    0           0           1
CaSe        mp-1415     0           0           1
RbBr        mp-22867    0           0           1
LaSb        mp-1065     1           1           1
NaF         mp-682      0           0           1
CdO         mp-1132     0           0           1
LiF         mp-1138     0           0           1
HfMg        mp-1094180  -1          0           1
MgTe        mp-1008786  0           0           1
CdTe        mp-2388     0           0           1
InP         mp-20457    0           0           1
CsI         mp-614603   0           0           1
NdS         mp-1748     -1          0           1
NaH         mp-23870    0           0           1
TbBi        mp-22921    1           1           1
ScAs        mp-2052     1           0           1
HgSe        mp-957      0           0           1
SmTe        mp-342      -1          0           1
BaTe        mp-1000     0           0           1
BaO         mp-1342     -1          0           1
NaCl        mp-22862    0           0           1
NdTe        mp-570      -1          0           1
LaBi        mp-22926    1           1           1
RuC         mp-1009787  1           1           1
RhN         mp-1009720  -1          0           1
BeO         mp-1794     0           0           1
